Sn,Id,Ls,St,Rs,Lw,Lf,Cf,Rf,Rw,Lam,Cam,Ram,Lm,Lcm,Cm,Rcm,Rm,Lwb,Ldm,Cdm,Rdm,Rwb,Lb,Lcb,Cb,Rcb,Rb,Original_Position
1681,189054,68+2,68+2,68+2,64+2,66+2,66+2,66+2,64+2,65+2,65+2,65+2,63+2,62+2,62+2,62+2,63+2,52+2,54+2,54+2,54+2,52+2,50+2,53+2,53+2,53+2,50+2,ST
1682,232062,58+2,58+2,58+2,60+2,60+2,60+2,60+2,60+2,60+2,60+2,60+2,62+2,61+2,61+2,61+2,62+2,67+2,66+2,66+2,66+2,67+2,67+2,66+2,66+2,66+2,67+2,"RWB,CB"
1683,208766,65+2,65+2,65+2,68+2,68+2,68+2,68+2,68+2,68+2,68+2,68+2,68+2,62+2,62+2,62+2,68+2,51+2,48+2,48+2,48+2,51+2,48+2,41+2,41+2,41+2,48+2,"CAM,RM,LM"
1684,234108,61+2,61+2,61+2,67+2,65+2,65+2,65+2,67+2,67+2,67+2,67+2,67+2,62+2,62+2,62+2,67+2,56+2,52+2,52+2,52+2,56+2,54+2,48+2,48+2,48+2,54+2,CAM
1685,228732,47+2,47+2,47+2,41+2,43+2,43+2,43+2,41+2,43+2,43+2,43+2,44+2,48+2,48+2,48+2,44+2,57+2,61+2,61+2,61+2,57+2,60+2,68+2,68+2,68+2,60+2,CB
1686,227708,44+2,44+2,44+2,40+2,41+2,41+2,41+2,40+2,42+2,42+2,42+2,44+2,49+2,49+2,49+2,44+2,57+2,62+2,62+2,62+2,57+2,59+2,68+2,68+2,68+2,59+2,CB
1687,211068,67+2,67+2,67+2,64+2,66+2,66+2,66+2,64+2,64+2,64+2,64+2,64+2,60+2,60+2,60+2,64+2,52+2,52+2,52+2,52+2,52+2,51+2,50+2,50+2,50+2,51+2,ST
1688,213905,67+2,67+2,67+2,63+2,63+2,63+2,63+2,63+2,60+2,60+2,60+2,61+2,56+2,56+2,56+2,61+2,54+2,51+2,51+2,51+2,54+2,53+2,53+2,53+2,53+2,53+2,"ST,LM"
1689,198033,64+2,64+2,64+2,68+2,67+2,67+2,67+2,68+2,68+2,68+2,68+2,67+2,62+2,62+2,62+2,67+2,51+2,48+2,48+2,48+2,51+2,48+2,40+2,40+2,40+2,48+2,"LW,RW"
1690,244624,60+2,60+2,60+2,64+2,65+2,65+2,65+2,64+2,67+2,67+2,67+2,65+2,67+2,67+2,67+2,65+2,61+2,63+2,63+2,63+2,61+2,59+2,57+2,57+2,57+2,59+2,CM
1691,165520,66+2,66+2,66+2,67+2,67+2,67+2,67+2,67+2,68+2,68+2,68+2,67+2,65+2,65+2,65+2,67+2,55+2,54+2,54+2,54+2,55+2,52+2,46+2,46+2,46+2,52+2,CAM
1692,138384,68+2,68+2,68+2,58+2,63+2,63+2,63+2,58+2,59+2,59+2,59+2,56+2,55+2,55+2,55+2,56+2,43+2,46+2,46+2,46+2,43+2,42+2,46+2,46+2,46+2,42+2,ST
1693,198288,60+2,60+2,60+2,64+2,63+2,63+2,63+2,64+2,64+2,64+2,64+2,66+2,65+2,65+2,65+2,66+2,68+2,67+2,67+2,67+2,68+2,68+2,66+2,66+2,66+2,68+2,"RB,RM,RWB"
1694,234383,,,,,,,,,,,,,,,,,,,,,,,,,,,GK
1695,231823,48+2,48+2,48+2,49+2,49+2,49+2,49+2,49+2,51+2,51+2,51+2,52+2,58+2,58+2,58+2,52+2,62+2,68+2,68+2,68+2,62+2,64+2,68+2,68+2,68+2,64+2,CB
1696,220815,69+2,69+2,69+2,68+2,69+2,69+2,69+2,68+2,69+2,69+2,69+2,68+2,67+2,67+2,67+2,68+2,63+2,63+2,63+2,63+2,63+2,63+2,61+2,61+2,61+2,63+2,"LM,CM,ST"
1697,215183,67+2,67+2,67+2,58+2,63+2,63+2,63+2,58+2,60+2,60+2,60+2,57+2,58+2,58+2,58+2,57+2,46+2,48+2,48+2,48+2,46+2,44+2,46+2,46+2,46+2,44+2,ST
1698,201359,60+2,60+2,60+2,62+2,63+2,63+2,63+2,62+2,64+2,64+2,64+2,64+2,66+2,66+2,66+2,64+2,66+2,67+2,67+2,67+2,66+2,65+2,64+2,64+2,64+2,65+2,"CDM,CM"
1699,168590,59+2,59+2,59+2,55+2,57+2,57+2,57+2,55+2,57+2,57+2,57+2,56+2,62+2,62+2,62+2,56+2,60+2,66+2,66+2,66+2,60+2,61+2,68+2,68+2,68+2,61+2,CB
1700,217998,68+2,68+2,68+2,64+2,66+2,66+2,66+2,64+2,63+2,63+2,63+2,62+2,55+2,55+2,55+2,62+2,47+2,46+2,46+2,46+2,47+2,45+2,45+2,45+2,45+2,45+2,ST
1701,187789,68+2,68+2,68+2,67+2,68+2,68+2,68+2,67+2,67+2,67+2,67+2,67+2,66+2,66+2,66+2,67+2,62+2,63+2,63+2,63+2,62+2,61+2,62+2,62+2,62+2,61+2,"CAM,LM,RM"
1702,235149,63+2,63+2,63+2,65+2,65+2,65+2,65+2,65+2,66+2,66+2,66+2,66+2,67+2,67+2,67+2,66+2,65+2,65+2,65+2,65+2,65+2,64+2,61+2,61+2,61+2,64+2,"CM,CDM"
1703,200845,67+2,67+2,67+2,64+2,65+2,65+2,65+2,64+2,63+2,63+2,63+2,64+2,59+2,59+2,59+2,64+2,53+2,51+2,51+2,51+2,53+2,51+2,50+2,50+2,50+2,51+2,ST
1704,182412,57+2,57+2,57+2,54+2,56+2,56+2,56+2,54+2,55+2,55+2,55+2,55+2,57+2,57+2,57+2,55+2,62+2,64+2,64+2,64+2,62+2,63+2,68+2,68+2,68+2,63+2,CB
1705,191390,60+2,60+2,60+2,68+2,65+2,65+2,65+2,68+2,67+2,67+2,67+2,70+2,67+2,67+2,67+2,70+2,69+2,66+2,66+2,66+2,69+2,67+2,64+2,64+2,64+2,67+2,"LB,LM"
1706,183454,58+2,58+2,58+2,59+2,58+2,58+2,58+2,59+2,57+2,57+2,57+2,61+2,60+2,60+2,60+2,61+2,67+2,66+2,66+2,66+2,67+2,68+2,70+2,70+2,70+2,68+2,RB
1707,52126,61+2,61+2,61+2,62+2,64+2,64+2,64+2,62+2,65+2,65+2,65+2,62+2,68+2,68+2,68+2,62+2,64+2,70+2,70+2,70+2,64+2,64+2,68+2,68+2,68+2,64+2,CM
1708,173470,58+2,58+2,58+2,65+2,64+2,64+2,64+2,65+2,67+2,67+2,67+2,66+2,68+2,68+2,68+2,66+2,64+2,65+2,65+2,65+2,64+2,62+2,59+2,59+2,59+2,62+2,"CM,CDM"
1709,232094,68+2,68+2,68+2,64+2,66+2,66+2,66+2,64+2,64+2,64+2,64+2,62+2,58+2,58+2,58+2,62+2,49+2,49+2,49+2,49+2,49+2,49+2,48+2,48+2,48+2,49+2,ST
1710,164766,61+2,61+2,61+2,63+2,62+2,62+2,62+2,63+2,62+2,62+2,62+2,64+2,63+2,63+2,63+2,64+2,68+2,66+2,66+2,66+2,68+2,68+2,67+2,67+2,67+2,68+2,LB
1711,225950,67+2,67+2,67+2,70+2,70+2,70+2,70+2,70+2,71+2,71+2,71+2,70+2,67+2,67+2,67+2,70+2,61+2,59+2,59+2,59+2,61+2,58+2,53+2,53+2,53+2,58+2,"CM,LM"
1712,222109,61+2,61+2,61+2,65+2,64+2,64+2,64+2,65+2,65+2,65+2,65+2,67+2,64+2,64+2,64+2,67+2,62+2,59+2,59+2,59+2,62+2,60+2,56+2,56+2,56+2,60+2,"RM,CM"
1713,220829,67+2,67+2,67+2,63+2,65+2,65+2,65+2,63+2,62+2,62+2,62+2,62+2,56+2,56+2,56+2,62+2,46+2,43+2,43+2,43+2,46+2,43+2,41+2,41+2,41+2,43+2,ST
1714,215965,67+2,67+2,67+2,63+2,65+2,65+2,65+2,63+2,62+2,62+2,62+2,63+2,55+2,55+2,55+2,63+2,46+2,44+2,44+2,44+2,46+2,44+2,42+2,42+2,42+2,44+2,ST
1715,204701,60+2,60+2,60+2,69+2,68+2,68+2,68+2,69+2,68+2,68+2,68+2,68+2,61+2,61+2,61+2,68+2,54+2,49+2,49+2,49+2,54+2,50+2,38+2,38+2,38+2,50+2,"RM,RW,LM"
1716,236956,62+2,62+2,62+2,66+2,66+2,66+2,66+2,66+2,67+2,67+2,67+2,65+2,62+2,62+2,62+2,65+2,52+2,51+2,51+2,51+2,52+2,51+2,46+2,46+2,46+2,51+2,"CAM,LM"
1717,235164,64+2,64+2,64+2,66+2,66+2,66+2,66+2,66+2,67+2,67+2,67+2,67+2,68+2,68+2,68+2,67+2,64+2,64+2,64+2,64+2,64+2,63+2,59+2,59+2,59+2,63+2,CM
1718,232860,66+2,66+2,66+2,67+2,67+2,67+2,67+2,67+2,67+2,67+2,67+2,68+2,66+2,66+2,66+2,68+2,63+2,62+2,62+2,62+2,63+2,61+2,58+2,58+2,58+2,61+2,"RM,CM,LM"
1719,230300,67+2,67+2,67+2,70+2,70+2,70+2,70+2,70+2,68+2,68+2,68+2,69+2,61+2,61+2,61+2,69+2,50+2,46+2,46+2,46+2,50+2,46+2,39+2,39+2,39+2,46+2,"ST,CF"
1720,213404,57+2,57+2,57+2,56+2,57+2,57+2,57+2,56+2,59+2,59+2,59+2,59+2,63+2,63+2,63+2,59+2,63+2,67+2,67+2,67+2,63+2,64+2,68+2,68+2,68+2,64+2,"CB,CDM"
1721,184242,64+2,64+2,64+2,67+2,66+2,66+2,66+2,67+2,67+2,67+2,67+2,67+2,68+2,68+2,68+2,67+2,66+2,66+2,66+2,66+2,66+2,65+2,63+2,63+2,63+2,65+2,CM
1722,232882,58+2,58+2,58+2,64+2,62+2,62+2,62+2,64+2,65+2,65+2,65+2,67+2,68+2,68+2,68+2,67+2,69+2,70+2,70+2,70+2,69+2,68+2,67+2,67+2,67+2,68+2,"CM,CB,CDM"
1723,216498,68+2,68+2,68+2,69+2,68+2,68+2,68+2,69+2,68+2,68+2,68+2,68+2,63+2,63+2,63+2,68+2,53+2,52+2,52+2,52+2,53+2,50+2,47+2,47+2,47+2,50+2,"ST,RM,LM"
1724,201138,,,,,,,,,,,,,,,,,,,,,,,,,,,GK
1725,198322,59+2,59+2,59+2,62+2,63+2,63+2,63+2,62+2,66+2,66+2,66+2,63+2,67+2,67+2,67+2,63+2,62+2,68+2,68+2,68+2,62+2,61+2,64+2,64+2,64+2,61+2,"CDM,CM"
1726,222129,,,,,,,,,,,,,,,,,,,,,,,,,,,GK
1727,223920,47+2,47+2,47+2,43+2,44+2,44+2,44+2,43+2,44+2,44+2,44+2,46+2,50+2,50+2,50+2,46+2,58+2,62+2,62+2,62+2,58+2,61+2,67+2,67+2,67+2,61+2,CB
1728,233647,48+2,48+2,48+2,41+2,43+2,43+2,43+2,41+2,43+2,43+2,43+2,44+2,49+2,49+2,49+2,44+2,56+2,62+2,62+2,62+2,56+2,59+2,68+2,68+2,68+2,59+2,CB
1729,223151,68+2,68+2,68+2,69+2,68+2,68+2,68+2,69+2,67+2,67+2,67+2,69+2,61+2,61+2,61+2,69+2,57+2,53+2,53+2,53+2,57+2,56+2,51+2,51+2,51+2,56+2,ST
1730,214703,,,,,,,,,,,,,,,,,,,,,,,,,,,GK
1731,175789,70+2,70+2,70+2,69+2,69+2,69+2,69+2,69+2,68+2,68+2,68+2,69+2,68+2,68+2,68+2,69+2,67+2,66+2,66+2,66+2,67+2,66+2,66+2,66+2,66+2,66+2,"CM,CDM"
1732,234925,54+2,54+2,54+2,59+2,58+2,58+2,58+2,59+2,60+2,60+2,60+2,63+2,63+2,63+2,63+2,63+2,67+2,67+2,67+2,67+2,67+2,67+2,68+2,68+2,68+2,67+2,"CB,LB"
1733,202413,64+2,64+2,64+2,63+2,64+2,64+2,64+2,63+2,65+2,65+2,65+2,64+2,67+2,67+2,67+2,64+2,66+2,69+2,69+2,69+2,66+2,66+2,68+2,68+2,68+2,66+2,"CM,CDM"
1734,225964,62+2,62+2,62+2,67+2,67+2,67+2,67+2,67+2,67+2,67+2,67+2,65+2,60+2,60+2,60+2,65+2,52+2,50+2,50+2,50+2,52+2,50+2,45+2,45+2,45+2,50+2,CAM
1735,230315,,,,,,,,,,,,,,,,,,,,,,,,,,,GK
1736,207531,51+2,51+2,51+2,48+2,49+2,49+2,49+2,48+2,49+2,49+2,49+2,50+2,55+2,55+2,55+2,50+2,59+2,64+2,64+2,64+2,59+2,61+2,67+2,67+2,67+2,61+2,CB
1737,173245,65+2,65+2,65+2,68+2,68+2,68+2,68+2,68+2,69+2,69+2,69+2,68+2,68+2,68+2,68+2,68+2,62+2,64+2,64+2,64+2,62+2,61+2,59+2,59+2,59+2,61+2,"CM,CAM"
1738,234948,64+2,64+2,64+2,69+2,68+2,68+2,68+2,69+2,69+2,69+2,69+2,69+2,67+2,67+2,67+2,69+2,63+2,62+2,62+2,62+2,63+2,61+2,56+2,56+2,56+2,61+2,CM
1739,214724,67+2,67+2,67+2,65+2,66+2,66+2,66+2,65+2,64+2,64+2,64+2,64+2,58+2,58+2,58+2,64+2,48+2,46+2,46+2,46+2,48+2,46+2,41+2,41+2,41+2,46+2,ST
1740,190659,67+2,67+2,67+2,68+2,68+2,68+2,68+2,68+2,67+2,67+2,67+2,68+2,61+2,61+2,61+2,68+2,52+2,48+2,48+2,48+2,52+2,50+2,43+2,43+2,43+2,50+2,"RM,LM"
1741,208835,63+2,63+2,63+2,68+2,67+2,67+2,67+2,68+2,69+2,69+2,69+2,69+2,69+2,69+2,69+2,69+2,68+2,68+2,68+2,68+2,68+2,66+2,63+2,63+2,63+2,66+2,"CDM,CM,CAM"
1742,123586,,,,,,,,,,,,,,,,,,,,,,,,,,,GK
1743,183490,55+2,55+2,55+2,60+2,58+2,58+2,58+2,60+2,59+2,59+2,59+2,62+2,61+2,61+2,61+2,62+2,68+2,65+2,65+2,65+2,68+2,67+2,65+2,65+2,65+2,67+2,LB
1744,235458,46+2,46+2,46+2,42+2,42+2,42+2,42+2,42+2,42+2,42+2,42+2,44+2,46+2,46+2,46+2,44+2,57+2,59+2,59+2,59+2,57+2,60+2,68+2,68+2,68+2,60+2,CB
1745,231874,53+2,53+2,53+2,59+2,56+2,56+2,56+2,59+2,56+2,56+2,56+2,61+2,57+2,57+2,57+2,61+2,67+2,63+2,63+2,63+2,67+2,67+2,66+2,66+2,66+2,67+2,"LB,CB"
1746,216514,61+2,61+2,61+2,68+2,66+2,66+2,66+2,68+2,67+2,67+2,67+2,68+2,62+2,62+2,62+2,68+2,55+2,50+2,50+2,50+2,55+2,52+2,41+2,41+2,41+2,52+2,"LM,CAM"
1747,213954,,,,,,,,,,,,,,,,,,,,,,,,,,,GK
1748,236993,65+2,65+2,65+2,67+2,66+2,66+2,66+2,67+2,65+2,65+2,65+2,67+2,64+2,64+2,64+2,67+2,68+2,65+2,65+2,65+2,68+2,68+2,65+2,65+2,65+2,68+2,RB
1749,233409,52+2,52+2,52+2,60+2,57+2,57+2,57+2,60+2,59+2,59+2,59+2,63+2,60+2,60+2,60+2,63+2,67+2,63+2,63+2,63+2,67+2,67+2,61+2,61+2,61+2,67+2,RB
1750,184512,45+2,45+2,45+2,40+2,41+2,41+2,41+2,40+2,40+2,40+2,40+2,42+2,46+2,46+2,46+2,42+2,56+2,60+2,60+2,60+2,56+2,58+2,68+2,68+2,68+2,58+2,CB
1751,239808,60+2,60+2,60+2,65+2,64+2,64+2,64+2,65+2,66+2,66+2,66+2,66+2,68+2,68+2,68+2,66+2,68+2,68+2,68+2,68+2,68+2,67+2,64+2,64+2,64+2,67+2,"CM,CDM"
1752,213952,,,,,,,,,,,,,,,,,,,,,,,,,,,GK
1753,204992,68+2,68+2,68+2,68+2,68+2,68+2,68+2,68+2,66+2,66+2,66+2,66+2,58+2,58+2,58+2,66+2,49+2,47+2,47+2,47+2,49+2,46+2,44+2,44+2,44+2,46+2,ST
1754,234710,68+2,68+2,68+2,68+2,69+2,69+2,69+2,68+2,69+2,69+2,69+2,70+2,68+2,68+2,68+2,70+2,61+2,63+2,63+2,63+2,61+2,60+2,60+2,60+2,60+2,60+2,"RW,LW,CM"
1755,232406,50+2,50+2,50+2,52+2,52+2,52+2,52+2,52+2,54+2,54+2,54+2,56+2,58+2,58+2,58+2,56+2,65+2,67+2,67+2,67+2,65+2,66+2,68+2,68+2,68+2,66+2,CDM
1756,214998,64+2,64+2,64+2,66+2,67+2,67+2,67+2,66+2,68+2,68+2,68+2,67+2,70+2,70+2,70+2,67+2,66+2,68+2,68+2,68+2,66+2,65+2,62+2,62+2,62+2,65+2,"CDM,CM"
1757,193749,67+2,67+2,67+2,64+2,65+2,65+2,65+2,64+2,63+2,63+2,63+2,63+2,58+2,58+2,58+2,63+2,51+2,50+2,50+2,50+2,51+2,48+2,48+2,48+2,48+2,48+2,ST
1758,213717,65+2,65+2,65+2,66+2,67+2,67+2,67+2,66+2,68+2,68+2,68+2,66+2,66+2,66+2,66+2,66+2,57+2,57+2,57+2,57+2,57+2,54+2,51+2,51+2,51+2,54+2,"CAM,CF,ST"
1759,172756,58+2,58+2,58+2,57+2,58+2,58+2,58+2,57+2,59+2,59+2,59+2,60+2,64+2,64+2,64+2,60+2,64+2,68+2,68+2,68+2,64+2,64+2,69+2,69+2,69+2,64+2,CDM
1760,181971,65+2,65+2,65+2,66+2,66+2,66+2,66+2,66+2,67+2,67+2,67+2,66+2,67+2,67+2,67+2,66+2,67+2,67+2,67+2,67+2,67+2,67+2,66+2,66+2,66+2,67+2,"CDM,CM,CAM,RM"
1761,174547,53+2,53+2,53+2,54+2,54+2,54+2,54+2,54+2,56+2,56+2,56+2,58+2,61+2,61+2,61+2,58+2,66+2,67+2,67+2,67+2,66+2,67+2,68+2,68+2,68+2,67+2,"CB,LB"
1762,168403,43+2,43+2,43+2,39+2,40+2,40+2,40+2,39+2,39+2,39+2,39+2,40+2,44+2,44+2,44+2,40+2,57+2,58+2,58+2,58+2,57+2,60+2,68+2,68+2,68+2,60+2,CB
1763,219091,58+2,58+2,58+2,59+2,59+2,59+2,59+2,59+2,60+2,60+2,60+2,61+2,63+2,63+2,63+2,61+2,66+2,68+2,68+2,68+2,66+2,65+2,67+2,67+2,67+2,65+2,"CDM,CB,CM"
1764,206035,63+2,63+2,63+2,63+2,63+2,63+2,63+2,63+2,64+2,64+2,64+2,64+2,65+2,65+2,65+2,64+2,66+2,67+2,67+2,67+2,66+2,65+2,68+2,68+2,68+2,65+2,"CDM,CM"
1765,238802,67+2,67+2,67+2,69+2,69+2,69+2,69+2,69+2,67+2,67+2,67+2,68+2,62+2,62+2,62+2,68+2,55+2,51+2,51+2,51+2,55+2,52+2,44+2,44+2,44+2,52+2,"RW,RM,LW,ST"
1766,226002,47+2,47+2,47+2,46+2,45+2,45+2,45+2,46+2,46+2,46+2,46+2,49+2,51+2,51+2,51+2,49+2,61+2,62+2,62+2,62+2,61+2,63+2,67+2,67+2,67+2,63+2,CB
1767,222930,59+2,59+2,59+2,60+2,60+2,60+2,60+2,60+2,62+2,62+2,62+2,62+2,65+2,65+2,65+2,62+2,66+2,68+2,68+2,68+2,66+2,67+2,68+2,68+2,68+2,67+2,"CDM,CB,CM"
1768,198354,68+2,68+2,68+2,68+2,68+2,68+2,68+2,68+2,66+2,66+2,66+2,68+2,61+2,61+2,61+2,68+2,54+2,51+2,51+2,51+2,54+2,51+2,47+2,47+2,47+2,51+2,"ST,RW,LW"
1769,166097,,,,,,,,,,,,,,,,,,,,,,,,,,,GK
1770,209637,55+2,55+2,55+2,49+2,50+2,50+2,50+2,49+2,50+2,50+2,50+2,52+2,54+2,54+2,54+2,52+2,60+2,62+2,62+2,62+2,60+2,62+2,67+2,67+2,67+2,62+2,"CB,RB"
1771,206565,63+2,63+2,63+2,68+2,67+2,67+2,67+2,68+2,68+2,68+2,68+2,68+2,63+2,63+2,63+2,68+2,56+2,53+2,53+2,53+2,56+2,54+2,46+2,46+2,46+2,54+2,"CAM,LM,RM"
1772,189412,61+2,61+2,61+2,62+2,62+2,62+2,62+2,62+2,63+2,63+2,63+2,63+2,65+2,65+2,65+2,63+2,67+2,68+2,68+2,68+2,67+2,67+2,67+2,67+2,67+2,67+2,"CDM,CM,CAM"
1773,235236,68+2,68+2,68+2,68+2,69+2,69+2,69+2,68+2,68+2,68+2,68+2,67+2,64+2,64+2,64+2,67+2,55+2,56+2,56+2,56+2,55+2,53+2,52+2,52+2,52+2,53+2,ST
1774,229348,52+2,52+2,52+2,59+2,55+2,55+2,55+2,59+2,54+2,54+2,54+2,60+2,53+2,53+2,53+2,60+2,67+2,60+2,60+2,60+2,67+2,67+2,65+2,65+2,65+2,67+2,"LB,LWB"
1775,189155,53+2,53+2,53+2,58+2,55+2,55+2,55+2,58+2,57+2,57+2,57+2,61+2,61+2,61+2,61+2,61+2,68+2,66+2,66+2,66+2,68+2,68+2,68+2,68+2,68+2,68+2,"CB,LB"
1776,206563,62+2,62+2,62+2,67+2,66+2,66+2,66+2,67+2,68+2,68+2,68+2,67+2,67+2,67+2,67+2,67+2,66+2,66+2,66+2,66+2,66+2,64+2,61+2,61+2,61+2,64+2,CM
1777,203491,66+2,66+2,66+2,67+2,67+2,67+2,67+2,67+2,67+2,67+2,67+2,68+2,63+2,63+2,63+2,68+2,53+2,52+2,52+2,52+2,53+2,50+2,46+2,46+2,46+2,50+2,LM
1778,193250,59+2,59+2,59+2,63+2,61+2,61+2,61+2,63+2,61+2,61+2,61+2,64+2,62+2,62+2,62+2,64+2,68+2,66+2,66+2,66+2,68+2,68+2,66+2,66+2,66+2,68+2,"LB,LM"
1779,189922,45+2,45+2,45+2,35+2,39+2,39+2,39+2,35+2,36+2,36+2,36+2,36+2,39+2,39+2,39+2,36+2,49+2,53+2,53+2,53+2,49+2,54+2,67+2,67+2,67+2,54+2,CB
1780,172258,49+2,49+2,49+2,48+2,49+2,49+2,49+2,48+2,51+2,51+2,51+2,52+2,58+2,58+2,58+2,52+2,61+2,68+2,68+2,68+2,61+2,63+2,70+2,70+2,70+2,63+2,CDM
1781,166114,67+2,67+2,67+2,64+2,64+2,64+2,64+2,64+2,64+2,64+2,64+2,64+2,61+2,61+2,61+2,64+2,50+2,51+2,51+2,51+2,50+2,49+2,50+2,50+2,50+2,49+2,ST
1782,215266,68+2,68+2,68+2,69+2,68+2,68+2,68+2,69+2,67+2,67+2,67+2,69+2,61+2,61+2,61+2,69+2,54+2,50+2,50+2,50+2,54+2,52+2,45+2,45+2,45+2,52+2,"ST,RM,LM"
1783,215010,55+2,55+2,55+2,57+2,55+2,55+2,55+2,57+2,54+2,54+2,54+2,59+2,57+2,57+2,57+2,59+2,66+2,64+2,64+2,64+2,66+2,67+2,68+2,68+2,68+2,67+2,"CB,RB"
1784,203746,64+2,64+2,64+2,67+2,67+2,67+2,67+2,67+2,68+2,68+2,68+2,67+2,66+2,66+2,66+2,67+2,60+2,58+2,58+2,58+2,60+2,58+2,53+2,53+2,53+2,58+2,"CAM,RM,CM"
1785,142818,58+2,58+2,58+2,59+2,59+2,59+2,59+2,59+2,61+2,61+2,61+2,60+2,64+2,64+2,64+2,60+2,64+2,67+2,67+2,67+2,64+2,64+2,68+2,68+2,68+2,64+2,"CB,RB"
1786,205045,51+2,51+2,51+2,52+2,53+2,53+2,53+2,52+2,55+2,55+2,55+2,55+2,59+2,59+2,59+2,55+2,61+2,65+2,65+2,65+2,61+2,63+2,67+2,67+2,67+2,63+2,CB
1787,238068,68+2,68+2,68+2,69+2,69+2,69+2,69+2,69+2,67+2,67+2,67+2,67+2,59+2,59+2,59+2,67+2,48+2,44+2,44+2,44+2,48+2,45+2,38+2,38+2,38+2,45+2,"RM,RW,LM"
1788,163828,67+2,67+2,67+2,67+2,67+2,67+2,67+2,67+2,66+2,66+2,66+2,66+2,60+2,60+2,60+2,66+2,49+2,47+2,47+2,47+2,49+2,46+2,41+2,41+2,41+2,46+2,"ST,CAM"
1789,229108,63+2,63+2,63+2,67+2,66+2,66+2,66+2,67+2,67+2,67+2,67+2,66+2,63+2,63+2,63+2,66+2,55+2,54+2,54+2,54+2,55+2,52+2,48+2,48+2,48+2,52+2,CAM
1790,186611,,,,,,,,,,,,,,,,,,,,,,,,,,,GK
1791,184819,44+2,44+2,44+2,41+2,40+2,40+2,40+2,41+2,41+2,41+2,41+2,43+2,47+2,47+2,47+2,43+2,57+2,60+2,60+2,60+2,57+2,60+2,68+2,68+2,68+2,60+2,CB
1792,183283,52+2,52+2,52+2,50+2,51+2,51+2,51+2,50+2,51+2,51+2,51+2,52+2,56+2,56+2,56+2,52+2,60+2,64+2,64+2,64+2,60+2,62+2,68+2,68+2,68+2,62+2,CB
1793,231667,62+2,62+2,62+2,67+2,66+2,66+2,66+2,67+2,68+2,68+2,68+2,66+2,63+2,63+2,63+2,66+2,56+2,55+2,55+2,55+2,56+2,53+2,51+2,51+2,51+2,53+2,"CAM,RW,LW"
1794,215283,48+2,48+2,48+2,44+2,44+2,44+2,44+2,44+2,44+2,44+2,44+2,46+2,48+2,48+2,48+2,46+2,58+2,60+2,60+2,60+2,58+2,60+2,67+2,67+2,67+2,60+2,CB
1795,179698,62+2,62+2,62+2,63+2,62+2,62+2,62+2,63+2,62+2,62+2,62+2,63+2,63+2,63+2,63+2,63+2,67+2,67+2,67+2,67+2,67+2,67+2,70+2,70+2,70+2,67+2,"LB,CB"
1796,177906,66+2,66+2,66+2,69+2,68+2,68+2,68+2,69+2,67+2,67+2,67+2,69+2,64+2,64+2,64+2,69+2,59+2,55+2,55+2,55+2,59+2,56+2,50+2,50+2,50+2,56+2,"CAM,CM,LM"
1797,234994,,,,,,,,,,,,,,,,,,,,,,,,,,,GK
1798,231410,62+2,62+2,62+2,68+2,68+2,68+2,68+2,68+2,68+2,68+2,68+2,67+2,60+2,60+2,60+2,67+2,50+2,46+2,46+2,46+2,50+2,45+2,37+2,37+2,37+2,45+2,"LW,CF"
1799,230386,54+2,54+2,54+2,50+2,50+2,50+2,50+2,50+2,50+2,50+2,50+2,52+2,54+2,54+2,54+2,52+2,61+2,62+2,62+2,62+2,61+2,63+2,68+2,68+2,68+2,63+2,CB
1800,223730,67+2,67+2,67+2,62+2,64+2,64+2,64+2,62+2,61+2,61+2,61+2,60+2,55+2,55+2,55+2,60+2,45+2,42+2,42+2,42+2,45+2,43+2,40+2,40+2,40+2,43+2,ST
1801,214258,59+2,59+2,59+2,56+2,57+2,57+2,57+2,56+2,59+2,59+2,59+2,58+2,64+2,64+2,64+2,58+2,63+2,68+2,68+2,68+2,63+2,63+2,68+2,68+2,68+2,63+2,"CDM,CM"
1802,183815,62+2,62+2,62+2,63+2,62+2,62+2,62+2,63+2,63+2,63+2,63+2,64+2,64+2,64+2,64+2,64+2,66+2,66+2,66+2,66+2,66+2,67+2,68+2,68+2,68+2,67+2,RB
1803,232711,64+2,64+2,64+2,66+2,65+2,65+2,65+2,66+2,65+2,65+2,65+2,66+2,65+2,65+2,65+2,66+2,65+2,63+2,63+2,63+2,65+2,64+2,61+2,61+2,61+2,64+2,"RM,CM"
1804,166919,59+2,59+2,59+2,59+2,59+2,59+2,59+2,59+2,60+2,60+2,60+2,59+2,62+2,62+2,62+2,59+2,63+2,65+2,65+2,65+2,63+2,63+2,67+2,67+2,67+2,63+2,"CB,LB"
1805,190982,64+2,64+2,64+2,67+2,66+2,66+2,66+2,67+2,66+2,66+2,66+2,66+2,61+2,61+2,61+2,66+2,50+2,48+2,48+2,48+2,50+2,47+2,41+2,41+2,41+2,47+2,"CAM,RM,LM"
1806,220166,66+2,66+2,66+2,68+2,68+2,68+2,68+2,68+2,67+2,67+2,67+2,67+2,60+2,60+2,60+2,67+2,51+2,47+2,47+2,47+2,51+2,48+2,40+2,40+2,40+2,48+2,"LW,RW"
