player_name,value_euro,predicted_value_euro,age,sliding_tackle,agility,short_passing,interceptions,jumping,positioning,curve,crossing,freekick_accuracy
Fabiano,"2,599,999","81,257",31,11,37,34,16,74,10,17,13,15
O. Mangala,"6,999,999","465,921",20,59,76,75,67,66,60,57,63,50
J. Toljan,"4,299,999","1,055,679",24,72,74,74,68,84,56,39,75,32
J. Gandolfi,"550,000","2,173,935",38,72,64,70,71,83,26,58,44,64
J. Lewis,"2,599,999","281,850",31,13,63,23,23,74,16,18,11,19
J. Bořil,"3,299,999","1,050,065",28,71,72,64,69,72,60,57,73,35
S. Clucas,"4,099,999","4,567,370",28,57,66,75,67,72,64,65,71,67
A. Grünwald,"3,899,999","4,494,263",29,55,64,74,61,65,65,75,67,79
J. Poulsen,"1,900,000","1,820,515",35,53,70,74,68,70,69,72,74,77
C. Montes,"5,000,000","392,183",22,73,71,64,71,77,59,62,41,37
R. Meggiorini,"3,200,000","730,369",33,24,78,70,23,76,74,69,62,60
N. Bungert,"2,700,000","304,373",32,74,53,68,75,68,35,30,42,48
C. Kouamé,"8,999,999","539,332",21,32,72,68,37,64,76,49,57,45
F. Meza,"4,199,999","94,968",27,73,61,65,78,70,47,30,35,40
A. Henríquez,"5,000,000","314,229",24,26,71,62,12,68,74,53,59,56
Nélson Oliveira,"4,400,000","759,759",27,29,68,69,36,64,72,65,55,47
E. Terranova,"2,700,000","308,220",32,71,62,54,67,90,22,59,30,22
R. Emond,"4,800,000","3,189,809",27,21,65,62,38,68,81,64,48,66
G. Hooper,"3,899,999","111,903",31,15,67,72,15,71,75,48,59,50
L. Freeman,"4,699,999","107,670",26,52,86,71,63,75,68,76,75,69
Miguel Vieira,"3,800,000","351,880",28,69,45,59,73,74,24,30,32,26
A. Rispoli,"3,000,000","747,043",30,67,73,68,68,80,67,57,71,49
N. Navarro,"1,999,999","16,278,313",33,19,58,35,21,57,16,16,18,20
A. Barboza,"4,500,000","1,528,808",23,73,42,65,71,51,27,24,33,26
A. Maxim,"4,199,999","316,114",28,23,87,70,43,52,67,81,70,72
O. John,"4,699,999","698,773",26,19,70,74,31,61,65,73,73,69
A. Smithies,"3,299,999","340,285",29,17,33,30,24,82,17,11,14,11
P. Barrientos,"2,399,999","276,392",34,31,77,75,37,55,63,83,70,77
F. Rinaudo,"3,399,999","358,445",31,74,71,77,77,77,60,54,62,53
L. Mazzitelli,"5,499,999","985,176",23,68,61,76,70,61,65,66,68,45
Eduardo,"4,900,000","1,615,542",25,58,66,77,59,57,68,65,67,66
G. Pazzini,"2,500,000","956,389",34,20,71,65,20,93,84,63,50,40
Lucas,"700,000","5,616,918",26,64,42,45,64,75,30,33,25,25
A. Bamba,"3,200,000","2,206,624",28,73,78,69,72,75,59,58,67,49
A. Mina,"3,800,000","477,115",28,68,38,68,73,76,38,27,43,41
I. Mbaye,"4,699,999","14,756,625",24,74,71,72,70,53,60,68,72,55
M. Tekdemir,"3,000,000","1,337,321",31,70,68,75,71,82,53,50,57,48
L. Burián,"1,600,000","589,804",35,14,68,37,28,71,15,15,13,15
Michel Cruceiro,"3,499,999","602,696",27,65,59,74,74,52,56,66,69,71
Ricardo,"3,599,999","77,748",32,24,77,66,45,70,70,67,64,57
Y. Gordillo,"4,400,000","601,965",26,66,71,73,72,67,64,42,43,36
G. Peruzzi,"4,099,999","778,140",26,73,73,69,76,78,55,65,68,50
Yu Hanchao,"3,499,999","3,492,083",32,48,80,74,52,54,68,55,69,55
K. Westwood,"1,999,999","1,314,933",34,19,58,28,22,62,15,11,20,12
Evandro Rochedo,"2,099,999","9,124,805",35,45,59,64,37,54,75,63,57,72
Dani Pacheco,"4,199,999","118,958",28,23,85,76,39,72,66,78,71,80
A. Ríos,"3,099,999","1,908,854",30,64,63,73,74,64,59,68,50,60
D. Kadah,"3,099,999","3,730,177",33,24,66,72,25,78,74,69,66,60
A. Diakhaby,"5,499,999","405,751",22,16,86,72,14,70,73,54,66,39
Juan Carlos,"2,599,999","311,038",31,21,56,25,20,70,11,30,32,12
I. Success,"5,499,999","227,061",23,24,68,68,20,80,72,56,73,54
S. Al Dawsari,"4,299,999","416,212",27,49,82,65,37,44,71,69,66,60
A. Özbiliz,"3,999,999","417,600",28,23,82,74,44,65,65,77,76,80
G. Banguera,"4,699,999","1,254,929",23,17,44,13,10,58,7,15,12,12
K. Johnsson,"3,200,000","146,206",29,12,45,26,20,71,16,12,11,11
U. Demirok,"3,099,999","755,693",30,75,48,64,74,44,40,32,40,22
N. Asare,"2,599,999","639,176",32,69,78,70,81,78,71,67,67,63
M. Pucciarelli,"4,699,999","583,112",27,28,90,72,32,72,78,69,62,39
D. Fagundez,"5,000,000","1,686,432",24,43,88,71,30,57,68,70,75,65
W. Troost-Ekong,"4,400,000","575,459",25,70,34,54,71,70,30,25,37,26
Paulinho,"3,099,999","2,171,666",32,17,79,66,18,75,78,71,62,71
J. Foyth,"6,500,000","610,294",21,72,72,73,72,72,46,41,41,47
M. Linnes,"3,399,999","24,706,774",27,71,82,68,72,66,65,65,68,38
Serginho,"5,499,999","1,092,034",24,53,62,78,34,55,72,73,65,71
Hélder Lopes,"3,000,000","342,517",30,72,66,73,68,55,61,57,75,73
E. Berg,"3,099,999","314,545",30,70,54,61,72,82,44,47,41,46
R. Bengtsson,"2,300,000","389,870",32,72,52,65,78,83,36,42,38,24
F. Forestieri,"4,099,999","685,236",29,31,90,72,42,84,71,70,64,65
K. Wilczek,"3,899,999","67,525",31,25,68,65,56,76,78,59,62,43
G. Cimirot,"4,800,000","180,328",26,66,72,75,74,71,66,61,65,64
I. Bennacer,"6,500,000","929,953",21,63,73,75,62,72,69,69,70,71
L. Marrone,"3,200,000","1,603,245",28,72,60,73,74,70,56,72,67,72
R. Halliche,"2,700,000","243,076",32,71,54,63,73,76,29,45,50,36
V. Vada,"5,499,999","634,971",23,57,75,75,69,55,71,73,72,74
Y. Bissouma,"6,500,000","2,045,946",22,71,72,74,71,59,67,62,65,75
R. Salinas,"2,900,000","869,920",30,72,67,75,68,65,69,70,76,61
R. Doan,"6,999,999","1,162,864",20,42,86,72,41,42,61,67,70,59
F. Pardo,"4,199,999","4,998,723",28,28,75,68,35,67,76,79,75,66
J. Duque,"4,299,999","1,080,521",26,66,74,72,79,71,53,43,43,39
D. Jensen,"3,499,999","11,036,064",26,18,38,23,19,58,15,15,12,15
Omar Ramos,"3,800,000","323,441",31,35,84,71,30,67,69,84,75,61
D. Randolph,"2,399,999","192,022",31,14,50,33,18,61,11,15,11,14
S. Sensi,"4,500,000","464,487",23,70,66,77,69,51,63,73,70,75
A. Ricaurte,"4,199,999","1,044,548",27,65,66,80,68,68,63,56,69,57
M. Aguirregaray,"3,000,000","1,076,554",29,72,69,71,68,63,72,66,72,50
João Carvalho,"6,000,000","1,893,070",21,22,84,73,40,53,66,74,71,68
A. Zeneli,"5,000,000","373,115",24,24,86,68,38,33,61,78,71,67
D. Dainelli,"269,999","877,258",39,70,30,56,83,74,16,40,28,31
K. Hansen,"3,099,999","2,241,011",30,74,70,70,69,78,55,67,65,43
R. Bennett,"3,200,000","1,453,163",29,74,30,65,70,73,22,22,25,25
Álvaro,"774,999","463,941",20,11,68,27,14,61,5,14,9,13
Lee Chung Yong,"3,899,999","123,828",30,41,75,73,54,58,70,68,70,65
V. Verre,"5,499,999","1,116,304",25,60,73,75,64,69,70,70,69,68
Kwoun Sun Tae,"1,999,999","293,068",34,20,67,35,24,68,17,14,10,12
Mauro Cildinho,"1,100,000","1,681,320",35,73,83,73,77,74,49,67,72,61
Edinho,"1,799,999","1,492,287",36,33,61,59,37,76,73,60,47,71
L. Pisculichi,"1,999,999","237,682",35,23,74,72,48,74,67,80,74,82
Y. Benalouane,"2,700,000","737,698",31,69,56,64,76,77,46,51,61,52
A. Ragusa,"3,999,999","602,106",28,26,82,74,36,66,68,63,68,51
F. Lemoine,"2,700,000","535,509",31,68,74,73,73,81,60,60,63,60
C. Roldan,"4,699,999","1,088,419",23,69,77,73,70,83,67,69,66,40
D. Ndong,"4,500,000","44,871,030",24,70,69,73,70,61,68,50,47,42
V. Coufal,"4,099,999","690,637",26,72,71,66,69,71,60,50,79,37
M. Oršić,"4,800,000","1,746,832",26,42,88,67,41,54,73,74,69,72
Édundo Oliveira,"3,499,999","144,313",27,72,54,67,72,78,35,41,51,42
B. Bannan,"3,999,999","93,522",29,40,91,75,57,64,65,76,73,70
R. Koch,"4,699,999","3,991,586",22,69,55,75,73,53,53,31,40,28
N. Pasquini,"3,299,999","5,428,555",28,68,75,72,70,72,71,77,76,70
A. Rosina,"1,999,999","1,189,459",35,22,85,75,14,32,70,81,69,78
T. Parker,"4,500,000","22,822,521",26,67,68,67,69,85,28,21,26,26
Marcos Guilherme,"5,499,999","5,202,710",23,49,85,73,29,57,69,69,69,64
D. Luckassen,"4,400,000","477,627",23,70,72,70,64,82,57,67,55,70
S. Hutchinson,"2,599,999","2,791,041",28,71,56,52,73,82,23,49,47,35
Bruno Lamas,"4,199,999","194,041",24,60,61,78,58,62,67,44,60,48
A. Bălută,"3,899,999","162,550",25,45,88,63,43,63,71,57,66,31
De las Cuevas,"2,399,999","376,972",32,44,78,69,51,72,69,85,72,78
Léo Bonatini,"3,800,000","86,941",24,31,67,70,33,70,75,67,65,63
D. Kolář,"2,399,999","124,842",33,32,63,74,53,66,74,66,68,70
T. Aoyama,"2,399,999","597,484",33,59,72,73,71,72,50,64,65,60
S. Montoya,"3,699,999","418,537",27,27,79,71,42,68,68,63,67,61
V. Aguilera,"2,399,999","636,401",29,73,33,60,73,55,55,59,37,69
H. Yamaguchi,"3,200,000","9,927,454",28,66,84,76,71,78,55,55,49,46
I. Mboyo,"2,700,000","127,927",31,30,67,70,38,72,74,62,71,66
Bruno Tabata,"4,800,000","2,647,596",21,33,77,74,53,56,69,69,76,72
B. Barišić,"3,200,000","9,149,105",26,74,70,70,65,69,64,76,80,31
Wilson Manafá,"3,499,999","5,901,445",24,71,85,72,64,47,69,70,73,48
C. Nørgaard,"3,699,999","7,789,979",24,68,68,74,66,59,62,64,64,64
G. Friend,"2,200,000","2,479,906",31,72,69,66,71,70,65,66,66,53
D. Khocholava,"3,299,999","3,123,437",26,73,49,67,69,65,44,27,31,21
B. Srarfi,"4,400,000","565,739",21,29,80,72,29,55,65,65,70,59
Romarinho,"3,299,999","6,150,470",28,23,87,70,28,54,73,67,63,71
Mateus,"1,600,000","4,342,701",34,33,75,68,46,74,73,65,67,74
W. Hoolahan,"999,999","67,227",36,36,69,75,35,33,64,73,72,67
R. Azeez,"3,499,999","1,300,688",26,67,74,75,69,93,49,53,56,46
M. Frey,"4,299,999","1,073,658",24,16,60,63,26,71,75,59,45,35
J. Akpa Akpro,"3,699,999","1,417,860",26,69,77,75,73,70,69,66,76,56
Isaac Cuenca,"3,299,999","1,224,533",27,27,84,67,27,58,70,81,69,59
Fábio Pacheco,"2,300,000","448,393",30,69,65,71,75,82,53,49,51,58
Lucas Piazon,"3,899,999","295,844",25,47,72,75,31,39,71,75,71,73
Timo Triano,"949,999","1,029,966",35,73,51,76,73,70,29,29,56,61
A. Scholz,"3,399,999","719,872",26,73,56,69,73,57,57,32,48,35
Y. Chibsah,"3,800,000","109,912",25,65,81,73,77,65,64,50,59,46
M. Duffy,"2,399,999","3,350,646",33,29,73,74,40,58,67,69,71,67
G. McAuley,"424,999","159,499",39,70,34,53,72,72,45,39,49,33
N. Al Abed,"3,099,999","1,191,842",29,40,77,73,36,64,67,66,70,64
Alessinito,"949,999","16,297,392",35,73,54,72,71,77,44,61,51,62
D. Verde,"5,000,000","135,132",22,35,88,68,24,45,65,72,69,73
P. Lasogga,"3,699,999","98,697",27,29,44,45,29,73,77,65,35,68
M. Pack,"3,200,000","1,542,625",27,63,64,75,70,70,59,60,68,68
Z. Ferhat,"3,899,999","84,844",26,27,75,74,19,50,64,63,75,48
C. Marshall,"1,299,999","857,120",34,64,35,68,70,75,28,55,27,56
J. Bahebeck,"3,999,999","598,060",25,23,72,74,34,66,65,73,74,74
R. Espinoza,"2,700,000","237,084",32,70,72,70,70,79,69,69,64,58
N. González,"5,499,999","335,665",20,35,78,65,35,69,74,56,66,42
Nuno Santos,"4,199,999","138,460",24,26,77,67,41,56,67,77,73,72
K. Kusk,"3,299,999","1,297,201",27,28,81,70,40,72,73,71,64,69
E. Lamanna,"2,599,999","877,553",29,13,39,35,14,61,11,12,19,17
G. Sunu,"3,299,999","365,950",27,22,76,70,36,53,71,62,72,53
E. Berggreen,"3,999,999","5,112,335",25,22,50,61,26,68,72,64,32,68
G. Núñez,"2,900,000","2,028,235",31,34,76,71,48,72,67,70,68,69
L. Aued,"2,700,000","8,142,227",32,60,61,74,68,57,69,65,69,66
Hao Junmin,"2,700,000","80,230",31,61,75,74,67,63,69,80,65,76
V. Găman,"2,399,999","639,462",30,71,61,68,71,73,59,41,44,48
Pulido,"2,900,000","5,637,514",27,68,53,67,70,70,37,52,50,38
A. Mobara,"3,499,999","93,722",25,73,68,72,68,75,64,48,65,59
A. Çalık,"3,499,999","883,855",25,72,52,62,74,81,40,44,40,39
A. Cerri,"4,600,000","1,146,725",22,30,60,65,13,73,70,64,40,34
Kim Jin Su,"3,000,000","3,875,264",26,71,78,71,74,71,69,66,71,68
C. Gytkjær,"3,200,000","768,537",28,19,73,58,32,78,73,61,56,56
Kangin Lee,"6,000,000","667,379",18,23,87,65,29,46,59,75,66,81
Edigar Junio,"3,299,999","670,721",27,22,86,69,14,66,68,60,65,60
J. Bostock,"3,599,999","387,847",27,67,71,74,64,75,66,68,69,75
S. Pellissier,"900,000","431,857",39,23,55,68,24,66,82,74,64,60
M. Antonsson,"3,599,999","1,150,091",27,35,71,63,29,68,77,51,52,31
M. Kean,"6,500,000","682,755",19,16,75,59,21,68,72,62,42,43
J. Collins,"949,999","378,527",35,73,27,57,72,60,34,29,38,60
N. Mushekwi,"3,000,000","640,418",31,19,68,60,36,83,75,48,43,35
L. Jiménez,"2,399,999","160,261",29,64,64,60,74,72,43,40,40,42
D. N'Dinga,"2,300,000","693,493",30,70,70,74,71,87,44,49,47,47
F. Kroos,"3,099,999","2,413,898",27,66,68,74,73,71,62,69,50,73
M. Mahi,"4,099,999","3,969,943",24,34,79,66,40,67,65,71,67,68
J. van Overeem,"3,899,999","1,556,363",24,50,83,74,58,36,65,74,67,60
A. Esswein,"3,099,999","11,122,142",28,59,66,68,48,78,65,68,70,54
J. Moreira,"2,500,000","245,632",29,66,76,73,59,66,62,59,76,32
Jorge Carvallinho,"949,999","3,035,060",35,68,45,67,69,62,44,47,54,54
J. Pereira,"2,099,999","4,143,797",32,72,40,60,74,73,35,30,50,33
N. Galović,"3,299,999","411,225",26,70,47,65,71,66,43,31,64,36
S. Mosquera,"4,299,999","40,905,351",24,23,82,71,16,66,66,58,68,46
J. Nieto,"3,699,999","409,932",26,26,88,80,42,69,72,70,69,62
C. Yacob,"2,300,000","1,218,597",31,71,56,73,68,71,42,52,34,55
L. Ajorque,"4,199,999","863,173",25,17,58,58,28,67,75,50,31,30
H. Barcos,"1,600,000","2,422,036",34,38,58,70,52,71,75,68,57,69
M. Doumbia,"4,299,999","3,108,113",24,44,83,69,25,61,67,64,65,61
G. Tutino,"5,499,999","689,916",22,34,73,68,25,70,69,69,69,68
A. Allione,"4,299,999","1,196,289",24,36,77,72,42,70,67,71,70,69
G. Lanaro,"1,799,999","642,940",32,71,57,69,59,82,22,25,29,24
W. Zimmerman,"3,399,999","62,136",25,63,47,67,70,78,48,33,39,38
L. Rizzo,"3,299,999","714,338",26,68,72,73,64,58,68,68,69,49
R. Gutiérrez,"1,400,000","864,891",35,16,65,60,35,81,78,45,37,67
M. Gavranović,"3,200,000","8,185,323",29,24,81,70,45,83,81,41,50,55
O. Hurmacı,"2,700,000","577,904",32,20,80,71,38,81,64,82,71,70
A. Tello,"5,000,000","77,859",22,58,76,75,67,72,68,66,69,52
S. Gustafson,"4,099,999","4,259,474",24,42,68,72,36,42,70,74,65,68
F. Ceravolo,"2,800,000","296,775",32,16,79,65,25,87,70,66,60,60
F. Coloccini,"424,999","565,683",37,65,55,64,69,75,40,58,53,56
Genís,"550,000","100,573",22,62,60,70,65,52,49,65,68,28
G. Curci,"1,799,999","161,684",33,13,29,26,19,56,8,10,11,13
Daniel Guimarães,"1,900,000","1,320,455",31,14,56,31,20,59,16,16,11,19
M. Albornoz,"2,599,999","2,064,261",28,73,73,74,63,66,58,80,77,69
J. Mercier,"424,999","3,922,171",39,65,65,75,73,77,64,71,64,66
M. Donald,"2,399,999","2,494,935",30,64,57,77,68,72,68,55,52,50
M. Cuisance,"5,499,999","650,937",19,55,84,78,48,59,61,85,79,75
A. Traoré,"4,099,999","892,971",23,63,64,75,69,63,67,59,54,41
O. McBurnie,"4,600,000","958,734",22,20,61,65,28,69,72,42,40,31
Dankler,"3,099,999","37,672",27,63,28,64,74,73,31,34,43,30
M. Goicoechea,"1,999,999","39,221",30,24,33,26,22,66,13,18,18,23
L. Andersen,"4,299,999","4,830,531",24,21,87,69,48,57,69,71,63,62
C. Obasi,"2,500,000","3,587,704",32,33,76,70,48,68,70,69,67,68
T. Howard,"210,000","207,983",40,14,38,33,17,69,13,14,16,14
H. Goitom,"1,999,999","509,357",34,20,52,68,49,48,78,63,55,58
S. Khaoui,"4,099,999","93,355",23,38,76,74,28,60,66,78,72,74
R. van La Parra,"3,299,999","1,186,656",27,36,75,68,34,55,68,67,64,57
Adrián Marín,"4,099,999","268,595",22,76,69,73,74,71,51,62,72,35
L. Menossi,"4,099,999","1,188,982",25,62,91,68,74,82,68,68,63,68
Josué Sá,"3,299,999","5,581,026",26,71,61,64,73,54,38,42,32,31
A. Chatzigiovanis,"4,400,000","3,617,850",21,18,76,67,25,59,67,63,70,65
Cristian Lodeira,"3,399,999","593,320",27,26,88,62,37,66,74,40,66,65
A. Pantic,"3,200,000","936,770",26,73,56,67,79,71,49,53,61,54
J. Rojas,"3,699,999","164,627",26,32,83,66,29,51,68,73,67,46
F. Klos,"3,000,000","2,070,776",31,24,46,54,24,61,74,41,40,45
J. Boye,"2,099,999","566,411",31,65,75,62,68,81,38,36,55,16
M. Malyshev,"3,499,999","432,504",26,63,74,75,71,69,63,59,63,54
Douglas,"2,599,999","3,359,355",28,69,82,75,64,75,66,76,75,56
K. Boyd,"1,600,000","555,844",35,18,64,64,14,66,79,60,55,67
D. Rodríguez,"2,500,000","806,154",29,14,45,32,22,67,13,16,13,12
M. Møller Dæhli,"4,199,999","1,259,745",24,24,87,70,21,57,63,62,66,61
S. Polter,"3,599,999","215,134",27,13,58,55,30,72,73,45,51,42
R. van Rhijn,"2,900,000","295,562",27,70,74,69,66,69,61,80,73,77
N. Maraš,"3,899,999","686,819",23,77,65,62,69,75,28,24,31,28
L. Castellanos,"1,299,999","650,992",34,16,44,24,24,64,19,14,13,18
A. Biyogo Poko,"3,599,999","2,319,483",26,65,72,70,73,65,69,41,58,50
J. Otero,"4,400,000","1,148,584",23,25,81,63,35,79,71,51,60,79
N. Boilesen,"3,000,000","223,703",27,69,71,69,69,75,66,62,70,40
D. Lainez,"5,499,999","98,624",18,51,90,69,29,59,69,62,60,50
Y. Al Shahrani,"3,099,999","5,744,531",26,70,80,71,71,52,68,68,70,65
I. Diomandé,"3,399,999","831,132",26,70,66,74,73,68,32,56,59,40
D. Kądzior,"3,699,999","400,724",26,42,83,68,46,79,63,80,81,75
J. Bottinelli,"1,299,999","1,493,452",34,62,31,62,73,83,17,43,50,38
G. Barry,"424,999","87,867",38,65,43,76,68,70,58,76,75,71
R. Kruse,"3,000,000","1,338,474",30,38,75,69,40,70,76,69,68,54
C. Bernardi,"3,099,999","1,993,320",28,51,82,72,39,58,68,61,68,70
E. Ávila,"4,199,999","260,357",25,31,76,68,34,60,67,46,56,51
N. Radonjić,"4,400,000","164,380",23,23,82,73,22,45,66,58,74,54
Jeff Meirson,"2,599,999","5,277,095",27,72,66,72,77,53,51,61,67,71
J. Güemez,"3,000,000","130,757",27,71,67,68,71,83,64,73,66,58
J. Jones,"4,299,999","1,241,785",24,45,79,68,34,48,60,64,71,64
D. Guzman,"2,500,000","928,191",29,62,68,72,68,68,65,70,70,53
A. Zaldívar,"4,099,999","920,324",25,47,76,64,35,66,72,65,60,45
S. Tibbling,"4,199,999","549,349",24,51,80,74,68,39,62,65,67,41
Joshuando Sá,"874,999","312,031",35,71,55,72,71,48,61,51,71,52
A. De Sart,"4,199,999","2,295,523",22,63,73,72,71,63,67,73,69,70
W. Owusu,"3,200,000","515,905",29,34,59,67,25,74,80,40,59,55
M. Abarhoun,"2,399,999","5,333,589",29,71,58,58,77,63,23,30,30,22
J. Puncheon,"2,399,999","1,637,470",32,58,68,75,59,60,73,75,74,74
M. Stiepermann,"3,299,999","549,524",28,62,67,71,63,44,72,73,65,67
M. Demir,"3,399,999","341,130",27,17,79,69,32,74,72,83,65,72
Salva Sevilla,"1,500,000","786,268",34,34,55,78,55,38,66,82,76,79
B. Kololli,"3,699,999","1,193,126",26,56,75,70,52,68,74,61,70,64
J. Börner,"2,900,000","29,896",28,67,61,59,70,88,47,58,49,50
Ricardo Ryller,"4,099,999","458,302",25,66,64,75,67,70,71,62,56,50
B. Białkowski,"1,999,999","913,367",31,14,48,33,19,66,10,11,11,12
M. Mantovani,"1,299,999","381,916",34,67,48,67,73,66,46,63,47,45
S. Ortega,"2,900,000","921,160",26,15,42,38,27,73,10,16,18,12
S. Gürler,"3,299,999","2,081,053",27,32,79,70,35,59,72,70,70,60
J. Bennett,"2,500,000","782,878",28,72,72,70,74,71,53,48,70,61
Rui Fonte,"3,200,000","12,465,745",28,28,71,73,40,75,78,73,61,63
A. Adnan,"3,899,999","1,451,750",25,70,73,70,68,66,66,66,74,74
Luismi,"3,399,999","425,598",26,72,61,68,75,75,25,26,39,30
L. Garritano,"3,899,999","756,536",25,42,87,68,47,72,64,66,64,64
A. Cubas,"3,699,999","1,496,395",22,76,89,75,72,78,51,43,58,40
Jubal,"3,299,999","751,183",25,68,51,64,74,72,30,36,29,27
L. Phiri,"4,199,999","1,240,516",24,70,77,75,69,70,60,69,64,57
T. Delaine,"3,200,000","430,722",26,69,66,72,66,82,64,65,73,45
J. Murphy,"3,099,999","14,736,297",29,38,77,68,50,73,70,67,69,59
Alexandre Frandeira,"2,300,000","1,873,569",31,67,46,62,68,60,36,46,51,41
R. García Guerreño,"2,500,000","256,538",29,71,51,68,74,84,44,34,46,32
K. Sema,"3,800,000","768,011",25,48,70,71,40,50,65,67,69,72
Reyes,"1,600,000","1,505,218",35,23,74,70,26,53,66,83,72,77
I. Hajrović,"3,299,999","1,687,769",27,38,76,72,48,68,62,78,73,76
Fernando Boldrin,"3,000,000","1,607,442",30,54,67,77,62,52,71,65,63,74
D. Peralta,"1,299,999","1,053,201",34,62,40,62,73,56,42,44,39,52
Sebá,"3,699,999","857,809",26,51,76,69,57,64,73,63,68,64
U. Ćosić,"3,399,999","97,319",26,74,60,55,72,68,18,33,23,32
F. Pisacane,"1,799,999","2,304,619",33,72,67,60,71,88,49,28,60,25
D. Rossi,"5,499,999","620,508",21,28,84,70,21,59,69,65,62,34
R. Alvarado,"4,199,999","1,313,101",20,60,77,71,55,62,68,67,71,59
J. Brownhill,"4,299,999","2,286,890",23,61,70,69,67,78,70,63,65,70
M. Piedrahita,"1,199,999","916,022",33,68,75,70,66,72,62,72,70,69
M. van der Werff,"2,399,999","542,788",29,70,53,68,73,69,30,66,65,69
D. Dwyer,"3,299,999","449,053",28,14,76,58,14,81,76,74,52,62
G. Bettini,"2,399,999","778,619",26,72,71,69,65,54,59,41,75,31
P. Brlek,"3,099,999","365,280",25,60,78,72,66,59,72,62,57,57
Miltisco Paulino,"1,799,999","7,685,649",31,72,62,62,66,77,34,44,54,52
Tobias Figueiredo,"2,599,999","1,245,237",25,67,48,57,65,77,25,24,34,29
Erik Morán,"2,300,000","1,146,184",27,63,62,74,70,62,58,59,56,47
David Batanero,"2,300,000","27,787",30,48,52,79,57,62,57,72,74,60
G. Holtmann,"3,299,999","180,078",23,50,73,66,58,55,64,58,69,36
A. Caracciolo,"1,900,000","367,069",28,73,73,56,65,92,19,14,41,19
A. Ajdarević,"2,399,999","374,740",28,39,48,73,58,46,65,73,74,72
Jung Sung Ryong,"1,199,999","81,954",34,12,14,32,25,46,14,19,10,11
A. Kamara,"3,099,999","74,779",24,21,68,64,13,70,74,48,41,43
A. Preciado,"3,099,999","355,819",24,20,79,67,37,58,64,64,70,68
M. Valenzuela,"3,200,000","737,608",20,71,80,65,68,73,58,67,72,38
E. Fernandes,"3,499,999","1,596,865",22,55,66,74,42,56,65,57,57,51
L. Memushaj,"1,999,999","46,279",32,62,90,74,70,59,64,68,63,67
E. Kawashima,"550,000","9,890,390",35,12,63,33,19,71,11,13,17,14
J. Filipović,"2,500,000","489,799",26,69,55,59,73,62,24,24,31,28
A. Gogia,"2,500,000","43,818",27,23,89,67,28,70,67,76,66,65
D. Schmidt,"1,600,000","3,306,145",31,74,57,57,67,80,41,45,46,35
Rodrigo Becão,"3,200,000","425,453",23,66,48,68,65,69,28,22,21,27
M. Friedrich,"3,000,000","5,039,539",23,72,54,66,69,69,29,39,43,26
T. Schütz,"1,799,999","4,558,865",31,62,64,71,69,76,49,72,59,80
S. Tecl,"2,500,000","552,044",28,25,71,63,34,67,77,53,56,51
D. Milićević,"1,799,999","813,757",33,36,75,70,45,59,72,79,75,79
O. Fink,"750,000","2,593,573",36,81,55,71,66,75,66,63,59,59
A. Tarek,"2,500,000","1,425,351",26,81,59,58,68,70,50,33,63,30
M. Jonjić,"2,300,000","391,616",28,71,62,57,70,73,39,29,38,25
B. Heynen,"3,299,999","1,269,801",22,61,69,75,64,61,72,72,58,47
João Pedro,"3,000,000","113,346",22,68,76,68,67,66,66,71,73,46
D. Rosero Valencia,"2,800,000","194,413",25,66,63,56,71,87,43,44,57,37
R. Caroca,"1,900,000","587,842",29,66,68,70,74,67,63,53,62,31
Souza,"2,200,000","5,327,799",31,65,69,70,66,62,65,69,67,76
K. Bonifazi,"3,000,000","644,050",22,74,49,56,72,72,33,29,34,34
D. Williams,"2,300,000","2,649,412",30,72,71,71,69,80,67,54,66,48
O. Cabezas,"3,000,000","590,651",22,70,67,60,73,78,41,34,47,25
C. Stengs,"5,000,000","511,346",20,30,80,77,23,57,58,67,68,53
Borja Lasso,"3,200,000","399,672",25,38,67,71,48,31,69,63,72,64
R. Oudin,"3,699,999","4,714,981",22,15,71,72,19,72,69,77,74,76
R. Rodríguez,"1,799,999","1,005,764",31,69,52,66,72,75,53,57,53,41
J. Rhodes,"2,399,999","773,305",29,26,65,52,42,76,78,46,56,32
I. Šunjić,"3,200,000","879,227",22,64,61,70,77,54,51,31,49,38
R. Thelander,"2,099,999","1,763,988",27,70,49,59,67,68,39,23,40,25
N. Moro,"3,599,999","242,901",20,67,64,77,69,47,62,60,65,68
M. Lustig,"1,600,000","14,173,534",32,73,54,72,73,81,44,65,66,40
S. Nishikawa,"1,400,000","1,200,363",32,13,68,34,18,65,15,23,18,12
M. Torsiglieri,"1,799,999","61,929",31,69,37,67,65,60,42,52,50,46
P. Škuletić,"2,399,999","5,378,019",28,12,40,58,28,54,74,52,41,32
M. Caire,"1,799,999","273,736",30,76,75,53,73,91,58,61,61,41
C. Lucchetti,"159,999","978,631",40,13,44,34,17,62,16,27,23,30
B. Afobe,"3,000,000","858,356",26,17,69,66,25,75,72,65,46,57
Carlitos,"999,999","353,553",36,38,72,75,55,70,65,75,75,72
J. Bela,"3,000,000","4,143,745",25,29,93,64,34,80,69,57,59,50
M. Coronel,"2,099,999","305,851",29,73,54,59,65,91,26,44,45,47
Ricardo Valente,"2,500,000","896,907",27,23,71,67,16,66,70,42,69,38
