Play_Id,Ls,St,Rs,Lw,Lf,Cf,Rf,Rw,Lam,Cam,Ram,Lm,Lcm,Cm,Rcm,Rm,Lwb,Ldm,Cdm,Rdm,Rwb,Lb,Lcb,Cb,Rcb,Rb,Original_Position
185349,61+2,61+2,61+2,66+2,64+2,64+2,64+2,66+2,65+2,65+2,65+2,66+2,65+2,65+2,65+2,66+2,68+2,67+2,67+2,67+2,68+2,68+2,67+2,67+2,67+2,68+2,"CB,RB"
247045,64+2,64+2,64+2,69+2,67+2,67+2,67+2,69+2,66+2,66+2,66+2,68+2,60+2,60+2,60+2,68+2,53+2,47+2,47+2,47+2,53+2,50+2,39+2,39+2,39+2,50+2,"RW,RM"
179973,60+2,60+2,60+2,64+2,63+2,63+2,63+2,64+2,64+2,64+2,64+2,67+2,66+2,66+2,66+2,67+2,72+2,69+2,69+2,69+2,72+2,71+2,68+2,68+2,68+2,71+2,"RM,LM"
225285,52+2,52+2,52+2,53+2,54+2,54+2,54+2,53+2,56+2,56+2,56+2,56+2,62+2,62+2,62+2,56+2,61+2,67+2,67+2,67+2,61+2,61+2,67+2,67+2,67+2,61+2,"CDM,CB"
215557,67+2,67+2,67+2,68+2,68+2,68+2,68+2,68+2,68+2,68+2,68+2,68+2,62+2,62+2,62+2,68+2,50+2,49+2,49+2,49+2,50+2,48+2,43+2,43+2,43+2,48+2,"LM,ST"
214533,63+2,63+2,63+2,67+2,66+2,66+2,66+2,67+2,67+2,67+2,67+2,67+2,66+2,66+2,66+2,67+2,63+2,62+2,62+2,62+2,63+2,61+2,58+2,58+2,58+2,61+2,"CAM,CM"
193796,63+2,63+2,63+2,67+2,65+2,65+2,65+2,67+2,65+2,65+2,65+2,68+2,65+2,65+2,65+2,68+2,68+2,65+2,65+2,65+2,68+2,67+2,63+2,63+2,63+2,67+2,"LB,LM,LWB"
233476,55+2,55+2,55+2,65+2,60+2,60+2,60+2,65+2,61+2,61+2,61+2,67+2,61+2,61+2,61+2,67+2,70+2,63+2,63+2,63+2,70+2,68+2,62+2,62+2,62+2,68+2,"LB,LM,LWB"
223511,55+2,55+2,55+2,58+2,56+2,56+2,56+2,58+2,56+2,56+2,56+2,59+2,56+2,56+2,56+2,59+2,66+2,63+2,63+2,63+2,66+2,67+2,68+2,68+2,68+2,67+2,"RB,LB"
214807,62+2,62+2,62+2,67+2,65+2,65+2,65+2,67+2,66+2,66+2,66+2,68+2,66+2,66+2,66+2,68+2,68+2,65+2,65+2,65+2,68+2,67+2,61+2,61+2,61+2,67+2,"RB,CM,RM"
193302,,,,,,,,,,,,,,,,,,,,,,,,,,,GK
214038,50+2,50+2,50+2,41+2,44+2,44+2,44+2,41+2,42+2,42+2,42+2,42+2,47+2,47+2,47+2,42+2,54+2,59+2,59+2,59+2,54+2,57+2,67+2,67+2,67+2,57+2,"CB,RB"
203798,62+2,62+2,62+2,64+2,64+2,64+2,64+2,64+2,65+2,65+2,65+2,66+2,68+2,68+2,68+2,66+2,69+2,70+2,70+2,70+2,69+2,68+2,67+2,67+2,67+2,68+2,"CM,CDM"
189717,68+2,68+2,68+2,67+2,68+2,68+2,68+2,67+2,67+2,67+2,67+2,66+2,61+2,61+2,61+2,66+2,53+2,52+2,52+2,52+2,53+2,51+2,49+2,49+2,49+2,51+2,ST
184341,67+2,67+2,67+2,61+2,64+2,64+2,64+2,61+2,62+2,62+2,62+2,59+2,57+2,57+2,57+2,59+2,43+2,46+2,46+2,46+2,43+2,41+2,44+2,44+2,44+2,41+2,ST
183573,59+2,59+2,59+2,59+2,59+2,59+2,59+2,59+2,60+2,60+2,60+2,61+2,64+2,64+2,64+2,61+2,67+2,68+2,68+2,68+2,67+2,67+2,68+2,68+2,68+2,67+2,"LB,CB,CDM"
169493,,,,,,,,,,,,,,,,,,,,,,,,,,,GK
196885,,,,,,,,,,,,,,,,,,,,,,,,,,,GK
237844,63+2,63+2,63+2,68+2,67+2,67+2,67+2,68+2,68+2,68+2,68+2,68+2,67+2,67+2,67+2,68+2,67+2,65+2,65+2,65+2,67+2,65+2,61+2,61+2,61+2,65+2,"CM,CDM"
230164,,,,,,,,,,,,,,,,,,,,,,,,,,,GK
215572,60+2,60+2,60+2,59+2,61+2,61+2,61+2,59+2,61+2,61+2,61+2,60+2,64+2,64+2,64+2,60+2,64+2,68+2,68+2,68+2,64+2,64+2,68+2,68+2,68+2,64+2,"CB,CDM"
207892,63+2,63+2,63+2,68+2,66+2,66+2,66+2,68+2,65+2,65+2,65+2,68+2,59+2,59+2,59+2,68+2,57+2,51+2,51+2,51+2,57+2,54+2,46+2,46+2,46+2,54+2,"LM,RM"
228883,50+2,50+2,50+2,50+2,49+2,49+2,49+2,50+2,52+2,52+2,52+2,52+2,56+2,56+2,56+2,52+2,60+2,65+2,65+2,65+2,60+2,62+2,68+2,68+2,68+2,62+2,"CB,CDM"
214291,56+2,56+2,56+2,63+2,60+2,60+2,60+2,63+2,62+2,62+2,62+2,65+2,64+2,64+2,64+2,65+2,68+2,66+2,66+2,66+2,68+2,67+2,65+2,65+2,65+2,67+2,"RB,CM"
235561,67+2,67+2,67+2,66+2,66+2,66+2,66+2,66+2,64+2,64+2,64+2,64+2,57+2,57+2,57+2,64+2,49+2,45+2,45+2,45+2,49+2,46+2,41+2,41+2,41+2,46+2,"ST,LW,RW"
232489,62+2,62+2,62+2,68+2,65+2,65+2,65+2,68+2,65+2,65+2,65+2,67+2,63+2,63+2,63+2,67+2,65+2,59+2,59+2,59+2,65+2,63+2,55+2,55+2,55+2,63+2,"RM,RWB"
220969,57+2,57+2,57+2,68+2,63+2,63+2,63+2,68+2,65+2,65+2,65+2,67+2,59+2,59+2,59+2,67+2,55+2,48+2,48+2,48+2,55+2,52+2,39+2,39+2,39+2,52+2,"RM,LM"
208169,52+2,52+2,52+2,53+2,53+2,53+2,53+2,53+2,54+2,54+2,54+2,57+2,57+2,57+2,57+2,57+2,64+2,64+2,64+2,64+2,64+2,65+2,67+2,67+2,67+2,65+2,"CB,RB,LB"
189224,68+2,68+2,68+2,63+2,66+2,66+2,66+2,63+2,64+2,64+2,64+2,63+2,59+2,59+2,59+2,63+2,49+2,51+2,51+2,51+2,49+2,48+2,48+2,48+2,48+2,48+2,"ST,RW"
223016,52+2,52+2,52+2,48+2,49+2,49+2,49+2,48+2,48+2,48+2,48+2,51+2,53+2,53+2,53+2,51+2,62+2,63+2,63+2,63+2,62+2,64+2,68+2,68+2,68+2,64+2,CB
221480,61+2,61+2,61+2,68+2,66+2,66+2,66+2,68+2,67+2,67+2,67+2,67+2,64+2,64+2,64+2,67+2,59+2,56+2,56+2,56+2,59+2,57+2,49+2,49+2,49+2,57+2,"CAM,CM"
220968,55+2,55+2,55+2,55+2,57+2,57+2,57+2,55+2,59+2,59+2,59+2,58+2,63+2,63+2,63+2,58+2,62+2,67+2,67+2,67+2,62+2,62+2,67+2,67+2,67+2,62+2,"CDM,CM,CB"
219688,53+2,53+2,53+2,52+2,52+2,52+2,52+2,52+2,52+2,52+2,52+2,54+2,57+2,57+2,57+2,54+2,62+2,64+2,64+2,64+2,62+2,63+2,67+2,67+2,67+2,63+2,CB
244263,44+2,44+2,44+2,42+2,42+2,42+2,42+2,42+2,41+2,41+2,41+2,44+2,45+2,45+2,45+2,44+2,59+2,58+2,58+2,58+2,59+2,62+2,68+2,68+2,68+2,62+2,"CB,LB,RB"
234279,55+2,55+2,55+2,61+2,58+2,58+2,58+2,61+2,59+2,59+2,59+2,63+2,60+2,60+2,60+2,63+2,67+2,64+2,64+2,64+2,67+2,66+2,63+2,63+2,63+2,66+2,"RWB,RM"
230439,57+2,57+2,57+2,60+2,58+2,58+2,58+2,60+2,62+2,62+2,62+2,62+2,65+2,65+2,65+2,62+2,67+2,68+2,68+2,68+2,67+2,67+2,67+2,67+2,67+2,67+2,"CDM,CB"
206631,66+2,66+2,66+2,68+2,68+2,68+2,68+2,68+2,68+2,68+2,68+2,68+2,68+2,68+2,68+2,68+2,66+2,64+2,64+2,64+2,66+2,64+2,61+2,61+2,61+2,64+2,"CAM,LB,CM,RM"
221990,45+2,45+2,45+2,41+2,42+2,42+2,42+2,41+2,43+2,43+2,43+2,43+2,49+2,49+2,49+2,43+2,54+2,60+2,60+2,60+2,54+2,57+2,68+2,68+2,68+2,57+2,CB
212518,,,,,,,,,,,,,,,,,,,,,,,,,,,GK
209958,49+2,49+2,49+2,47+2,48+2,48+2,48+2,47+2,48+2,48+2,48+2,50+2,52+2,52+2,52+2,50+2,59+2,62+2,62+2,62+2,59+2,61+2,67+2,67+2,67+2,61+2,"CB,LB"
223551,68+2,68+2,68+2,64+2,66+2,66+2,66+2,64+2,64+2,64+2,64+2,63+2,57+2,57+2,57+2,63+2,48+2,47+2,47+2,47+2,48+2,46+2,44+2,44+2,44+2,46+2,ST
135743,68+2,68+2,68+2,62+2,64+2,64+2,64+2,62+2,61+2,61+2,61+2,60+2,57+2,57+2,57+2,60+2,47+2,48+2,48+2,48+2,47+2,46+2,48+2,48+2,48+2,46+2,ST
202814,60+2,60+2,60+2,66+2,63+2,63+2,63+2,66+2,63+2,63+2,63+2,67+2,63+2,63+2,63+2,67+2,68+2,64+2,64+2,64+2,68+2,68+2,63+2,63+2,63+2,68+2,"RB,RM"
229949,68+2,68+2,68+2,68+2,68+2,68+2,68+2,68+2,67+2,67+2,67+2,68+2,60+2,60+2,60+2,68+2,52+2,49+2,49+2,49+2,52+2,49+2,44+2,44+2,44+2,49+2,"ST,RW"
149309,,,,,,,,,,,,,,,,,,,,,,,,,,,GK
211005,47+2,47+2,47+2,48+2,48+2,48+2,48+2,48+2,49+2,49+2,49+2,50+2,51+2,51+2,51+2,50+2,58+2,61+2,61+2,61+2,58+2,61+2,68+2,68+2,68+2,61+2,CB
235580,59+2,59+2,59+2,54+2,56+2,56+2,56+2,54+2,56+2,56+2,56+2,55+2,61+2,61+2,61+2,55+2,62+2,67+2,67+2,67+2,62+2,63+2,71+2,71+2,71+2,63+2,"CDM,CB"
229692,,,,,,,,,,,,,,,,,,,,,,,,,,,GK
211260,64+2,64+2,64+2,67+2,66+2,66+2,66+2,67+2,67+2,67+2,67+2,66+2,64+2,64+2,64+2,66+2,56+2,57+2,57+2,57+2,56+2,54+2,52+2,52+2,52+2,54+2,"CAM,LM,CM"
204092,,,,,,,,,,,,,,,,,,,,,,,,,,,GK
171067,52+2,52+2,52+2,50+2,50+2,50+2,50+2,50+2,51+2,51+2,51+2,52+2,56+2,56+2,56+2,52+2,62+2,65+2,65+2,65+2,62+2,63+2,68+2,68+2,68+2,63+2,"CB,CM"
222779,,,,,,,,,,,,,,,,,,,,,,,,,,,GK
212795,56+2,56+2,56+2,58+2,57+2,57+2,57+2,58+2,57+2,57+2,57+2,60+2,61+2,61+2,61+2,60+2,66+2,66+2,66+2,66+2,66+2,67+2,68+2,68+2,68+2,67+2,"CB,LB"
235834,60+2,60+2,60+2,66+2,64+2,64+2,64+2,66+2,65+2,65+2,65+2,67+2,65+2,65+2,65+2,67+2,66+2,63+2,63+2,63+2,66+2,65+2,59+2,59+2,59+2,65+2,"RM,CM,RB"
159034,46+2,46+2,46+2,43+2,44+2,44+2,44+2,43+2,46+2,46+2,46+2,47+2,53+2,53+2,53+2,47+2,58+2,64+2,64+2,64+2,58+2,60+2,68+2,68+2,68+2,60+2,CB
201530,61+2,61+2,61+2,67+2,65+2,65+2,65+2,67+2,66+2,66+2,66+2,69+2,68+2,68+2,68+2,69+2,70+2,67+2,67+2,67+2,70+2,68+2,62+2,62+2,62+2,68+2,"LB,LM"
187982,51+2,51+2,51+2,47+2,49+2,49+2,49+2,47+2,50+2,50+2,50+2,50+2,56+2,56+2,56+2,50+2,57+2,63+2,63+2,63+2,57+2,59+2,67+2,67+2,67+2,59+2,CB
239950,59+2,59+2,59+2,62+2,63+2,63+2,63+2,62+2,65+2,65+2,65+2,65+2,68+2,68+2,68+2,65+2,65+2,68+2,68+2,68+2,65+2,65+2,65+2,65+2,65+2,65+2,"CM,CDM"
232526,53+2,53+2,53+2,57+2,54+2,54+2,54+2,57+2,56+2,56+2,56+2,61+2,61+2,61+2,61+2,61+2,67+2,67+2,67+2,67+2,67+2,67+2,67+2,67+2,67+2,67+2,"LB,CB,LM"
228174,44+2,44+2,44+2,45+2,44+2,44+2,44+2,45+2,46+2,46+2,46+2,48+2,51+2,51+2,51+2,48+2,59+2,62+2,62+2,62+2,59+2,62+2,67+2,67+2,67+2,62+2,CB
227918,66+2,66+2,66+2,68+2,67+2,67+2,67+2,68+2,66+2,66+2,66+2,68+2,62+2,62+2,62+2,68+2,61+2,56+2,56+2,56+2,61+2,59+2,53+2,53+2,53+2,59+2,"LW,LM,RW"
221774,67+2,67+2,67+2,60+2,64+2,64+2,64+2,60+2,62+2,62+2,62+2,60+2,56+2,56+2,56+2,60+2,44+2,46+2,46+2,46+2,44+2,42+2,44+2,44+2,44+2,42+2,ST
208462,56+2,56+2,56+2,52+2,54+2,54+2,54+2,52+2,56+2,56+2,56+2,54+2,60+2,60+2,60+2,54+2,60+2,66+2,66+2,66+2,60+2,61+2,67+2,67+2,67+2,61+2,CB
243533,49+2,49+2,49+2,45+2,46+2,46+2,46+2,45+2,44+2,44+2,44+2,46+2,46+2,46+2,46+2,46+2,59+2,58+2,58+2,58+2,59+2,62+2,67+2,67+2,67+2,62+2,CB
177741,55+2,55+2,55+2,60+2,58+2,58+2,58+2,60+2,60+2,60+2,60+2,63+2,64+2,64+2,64+2,63+2,69+2,67+2,67+2,67+2,69+2,68+2,64+2,64+2,64+2,68+2,"LB,LM"
236621,68+2,68+2,68+2,62+2,65+2,65+2,65+2,62+2,61+2,61+2,61+2,59+2,54+2,54+2,54+2,59+2,43+2,41+2,41+2,41+2,43+2,42+2,38+2,38+2,38+2,42+2,ST
213325,54+2,54+2,54+2,56+2,56+2,56+2,56+2,56+2,58+2,58+2,58+2,59+2,62+2,62+2,62+2,59+2,65+2,67+2,67+2,67+2,65+2,65+2,68+2,68+2,68+2,65+2,"CDM,CM"
211021,,,,,,,,,,,,,,,,,,,,,,,,,,,GK
139597,67+2,67+2,67+2,62+2,65+2,65+2,65+2,62+2,63+2,63+2,63+2,60+2,58+2,58+2,58+2,60+2,48+2,49+2,49+2,49+2,48+2,47+2,50+2,50+2,50+2,47+2,ST
203853,64+2,64+2,64+2,68+2,67+2,67+2,67+2,68+2,67+2,67+2,67+2,68+2,61+2,61+2,61+2,68+2,51+2,48+2,48+2,48+2,51+2,47+2,41+2,41+2,41+2,47+2,"RM,CAM"
238924,67+2,67+2,67+2,62+2,63+2,63+2,63+2,62+2,59+2,59+2,59+2,60+2,52+2,52+2,52+2,60+2,48+2,45+2,45+2,45+2,48+2,46+2,46+2,46+2,46+2,46+2,"ST,CF"
206412,,,,,,,,,,,,,,,,,,,,,,,,,,,GK
243551,60+2,60+2,60+2,66+2,63+2,63+2,63+2,66+2,64+2,64+2,64+2,67+2,61+2,61+2,61+2,67+2,58+2,55+2,55+2,55+2,58+2,55+2,49+2,49+2,49+2,55+2,"RM,LM"
233055,52+2,52+2,52+2,55+2,54+2,54+2,54+2,55+2,56+2,56+2,56+2,59+2,60+2,60+2,60+2,59+2,66+2,66+2,66+2,66+2,66+2,67+2,67+2,67+2,67+2,67+2,"CB,RB"
223071,,,,,,,,,,,,,,,,,,,,,,,,,,,GK
243806,68+2,68+2,68+2,65+2,65+2,65+2,65+2,65+2,63+2,63+2,63+2,63+2,56+2,56+2,56+2,63+2,47+2,44+2,44+2,44+2,47+2,45+2,41+2,41+2,41+2,45+2,ST
227678,56+2,56+2,56+2,59+2,59+2,59+2,59+2,59+2,61+2,61+2,61+2,61+2,63+2,63+2,63+2,61+2,66+2,67+2,67+2,67+2,66+2,66+2,67+2,67+2,67+2,66+2,"CB,RB"
209758,49+2,49+2,49+2,49+2,48+2,48+2,48+2,49+2,50+2,50+2,50+2,51+2,55+2,55+2,55+2,51+2,62+2,64+2,64+2,64+2,62+2,64+2,68+2,68+2,68+2,64+2,"CB,RB"
207454,62+2,62+2,62+2,69+2,67+2,67+2,67+2,69+2,68+2,68+2,68+2,69+2,64+2,64+2,64+2,69+2,54+2,49+2,49+2,49+2,54+2,51+2,38+2,38+2,38+2,51+2,"LW,RW"
182621,56+2,56+2,56+2,53+2,54+2,54+2,54+2,53+2,55+2,55+2,55+2,54+2,58+2,58+2,58+2,54+2,60+2,64+2,64+2,64+2,60+2,61+2,68+2,68+2,68+2,61+2,CB
242269,62+2,62+2,62+2,66+2,64+2,64+2,64+2,66+2,66+2,66+2,66+2,68+2,67+2,67+2,67+2,68+2,69+2,67+2,67+2,67+2,69+2,68+2,65+2,65+2,65+2,68+2,LB
225629,62+2,62+2,62+2,65+2,65+2,65+2,65+2,65+2,66+2,66+2,66+2,65+2,67+2,67+2,67+2,65+2,66+2,67+2,67+2,67+2,66+2,65+2,64+2,64+2,64+2,65+2,CM
225117,63+2,63+2,63+2,66+2,66+2,66+2,66+2,66+2,68+2,68+2,68+2,67+2,67+2,67+2,67+2,67+2,66+2,66+2,66+2,66+2,66+2,66+2,64+2,64+2,64+2,66+2,"CM,CDM"
222557,45+2,45+2,45+2,46+2,46+2,46+2,46+2,46+2,49+2,49+2,49+2,50+2,55+2,55+2,55+2,50+2,62+2,66+2,66+2,66+2,62+2,63+2,67+2,67+2,67+2,63+2,CB
202077,68+2,68+2,68+2,62+2,65+2,65+2,65+2,62+2,62+2,62+2,62+2,61+2,57+2,57+2,57+2,61+2,48+2,50+2,50+2,50+2,48+2,46+2,49+2,49+2,49+2,46+2,ST
198749,67+2,67+2,67+2,68+2,69+2,69+2,69+2,68+2,69+2,69+2,69+2,68+2,68+2,68+2,68+2,68+2,65+2,65+2,65+2,65+2,65+2,64+2,62+2,62+2,62+2,64+2,"CM,CAM"
191068,68+2,68+2,68+2,62+2,65+2,65+2,65+2,62+2,61+2,61+2,61+2,60+2,55+2,55+2,55+2,60+2,49+2,48+2,48+2,48+2,49+2,48+2,49+2,49+2,49+2,48+2,ST
167516,66+2,66+2,66+2,67+2,67+2,67+2,67+2,67+2,68+2,68+2,68+2,66+2,63+2,63+2,63+2,66+2,52+2,52+2,52+2,52+2,52+2,50+2,48+2,48+2,48+2,50+2,"CAM,LM,ST"
194925,67+2,67+2,67+2,61+2,64+2,64+2,64+2,61+2,62+2,62+2,62+2,59+2,56+2,56+2,56+2,59+2,48+2,49+2,49+2,49+2,48+2,47+2,51+2,51+2,51+2,47+2,ST
241005,67+2,67+2,67+2,65+2,64+2,64+2,64+2,65+2,61+2,61+2,61+2,63+2,52+2,52+2,52+2,63+2,43+2,39+2,39+2,39+2,43+2,41+2,39+2,39+2,39+2,41+2,ST
235629,,,,,,,,,,,,,,,,,,,,,,,,,,,GK
169069,57+2,57+2,57+2,62+2,60+2,60+2,60+2,62+2,62+2,62+2,62+2,64+2,64+2,64+2,64+2,64+2,68+2,67+2,67+2,67+2,68+2,67+2,66+2,66+2,66+2,67+2,RB
230253,55+2,55+2,55+2,55+2,56+2,56+2,56+2,55+2,58+2,58+2,58+2,57+2,61+2,61+2,61+2,57+2,64+2,68+2,68+2,68+2,64+2,66+2,70+2,70+2,70+2,66+2,CDM
226157,62+2,62+2,62+2,65+2,66+2,66+2,66+2,65+2,67+2,67+2,67+2,66+2,68+2,68+2,68+2,66+2,63+2,65+2,65+2,65+2,63+2,62+2,59+2,59+2,59+2,62+2,CM
215149,56+2,56+2,56+2,63+2,60+2,60+2,60+2,63+2,62+2,62+2,62+2,65+2,63+2,63+2,63+2,65+2,68+2,65+2,65+2,65+2,68+2,67+2,63+2,63+2,63+2,67+2,"RB,LB,RM"
193900,62+2,62+2,62+2,64+2,63+2,63+2,63+2,64+2,62+2,62+2,62+2,66+2,62+2,62+2,62+2,66+2,68+2,64+2,64+2,64+2,68+2,68+2,65+2,65+2,65+2,68+2,"RB,RWB"
190572,58+2,58+2,58+2,60+2,59+2,59+2,59+2,60+2,60+2,60+2,60+2,63+2,62+2,62+2,62+2,63+2,67+2,66+2,66+2,66+2,67+2,67+2,68+2,68+2,68+2,67+2,"LB,LWB,CB,LM"
167532,60+2,60+2,60+2,63+2,62+2,62+2,62+2,63+2,62+2,62+2,62+2,64+2,63+2,63+2,63+2,64+2,68+2,66+2,66+2,66+2,68+2,68+2,66+2,66+2,66+2,68+2,LB
215404,55+2,55+2,55+2,53+2,53+2,53+2,53+2,53+2,54+2,54+2,54+2,55+2,57+2,57+2,57+2,55+2,62+2,65+2,65+2,65+2,62+2,64+2,68+2,68+2,68+2,64+2,"CB,RB"
213868,52+2,52+2,52+2,56+2,55+2,55+2,55+2,56+2,57+2,57+2,57+2,60+2,61+2,61+2,61+2,60+2,67+2,66+2,66+2,66+2,67+2,68+2,67+2,67+2,67+2,68+2,CB
210028,59+2,59+2,59+2,59+2,60+2,60+2,60+2,59+2,61+2,61+2,61+2,61+2,64+2,64+2,64+2,61+2,66+2,68+2,68+2,68+2,66+2,66+2,69+2,69+2,69+2,66+2,"CDM,CM"
228203,65+2,65+2,65+2,68+2,68+2,68+2,68+2,68+2,68+2,68+2,68+2,68+2,64+2,64+2,64+2,68+2,56+2,56+2,56+2,56+2,56+2,53+2,50+2,50+2,50+2,53+2,"LM,LW,CAM"
231786,68+2,68+2,68+2,69+2,68+2,68+2,68+2,69+2,68+2,68+2,68+2,69+2,60+2,60+2,60+2,69+2,48+2,43+2,43+2,43+2,48+2,44+2,36+2,36+2,36+2,44+2,ST
220522,62+2,62+2,62+2,68+2,67+2,67+2,67+2,68+2,68+2,68+2,68+2,68+2,64+2,64+2,64+2,68+2,53+2,51+2,51+2,51+2,53+2,49+2,41+2,41+2,41+2,49+2,"RM,CAM,ST"
9833,,,,,,,,,,,,,,,,,,,,,,,,,,,GK
207745,63+2,63+2,63+2,64+2,63+2,63+2,63+2,64+2,64+2,64+2,64+2,66+2,65+2,65+2,65+2,66+2,69+2,67+2,67+2,67+2,69+2,68+2,64+2,64+2,64+2,68+2,"LB,RB,RM"
205185,52+2,52+2,52+2,53+2,53+2,53+2,53+2,53+2,54+2,54+2,54+2,55+2,57+2,57+2,57+2,55+2,63+2,65+2,65+2,65+2,63+2,65+2,67+2,67+2,67+2,65+2,CB
202113,64+2,64+2,64+2,67+2,66+2,66+2,66+2,67+2,66+2,66+2,66+2,66+2,65+2,65+2,65+2,66+2,67+2,67+2,67+2,67+2,67+2,68+2,69+2,69+2,69+2,68+2,"RWB,RB,LWB"
242816,60+2,60+2,60+2,66+2,65+2,65+2,65+2,66+2,69+2,69+2,69+2,67+2,68+2,68+2,68+2,67+2,60+2,61+2,61+2,61+2,60+2,58+2,53+2,53+2,53+2,58+2,CM
225664,65+2,65+2,65+2,68+2,67+2,67+2,67+2,68+2,67+2,67+2,67+2,68+2,64+2,64+2,64+2,68+2,63+2,60+2,60+2,60+2,63+2,61+2,58+2,58+2,58+2,61+2,"RM,RWB,LM,CAM"
221312,50+2,50+2,50+2,54+2,51+2,51+2,51+2,54+2,52+2,52+2,52+2,56+2,55+2,55+2,55+2,56+2,63+2,63+2,63+2,63+2,63+2,64+2,67+2,67+2,67+2,64+2,"CB,LB"
210560,47+2,47+2,47+2,44+2,44+2,44+2,44+2,44+2,44+2,44+2,44+2,47+2,48+2,48+2,48+2,47+2,59+2,60+2,60+2,60+2,59+2,62+2,67+2,67+2,67+2,62+2,CB
237183,69+2,69+2,69+2,72+2,72+2,72+2,72+2,72+2,72+2,72+2,72+2,71+2,67+2,67+2,67+2,71+2,59+2,55+2,55+2,55+2,59+2,55+2,47+2,47+2,47+2,55+2,"CM,LW"
214911,60+2,60+2,60+2,62+2,61+2,61+2,61+2,62+2,61+2,61+2,61+2,63+2,63+2,63+2,63+2,63+2,67+2,67+2,67+2,67+2,67+2,68+2,70+2,70+2,70+2,68+2,"LB,CB"
189054,68+2,68+2,68+2,64+2,66+2,66+2,66+2,64+2,65+2,65+2,65+2,63+2,62+2,62+2,62+2,63+2,52+2,54+2,54+2,54+2,52+2,50+2,53+2,53+2,53+2,50+2,ST
232062,58+2,58+2,58+2,60+2,60+2,60+2,60+2,60+2,60+2,60+2,60+2,62+2,61+2,61+2,61+2,62+2,67+2,66+2,66+2,66+2,67+2,67+2,66+2,66+2,66+2,67+2,"RWB,CB"
208766,65+2,65+2,65+2,68+2,68+2,68+2,68+2,68+2,68+2,68+2,68+2,68+2,62+2,62+2,62+2,68+2,51+2,48+2,48+2,48+2,51+2,48+2,41+2,41+2,41+2,48+2,"CAM,RM,LM"
234108,61+2,61+2,61+2,67+2,65+2,65+2,65+2,67+2,67+2,67+2,67+2,67+2,62+2,62+2,62+2,67+2,56+2,52+2,52+2,52+2,56+2,54+2,48+2,48+2,48+2,54+2,CAM
228732,47+2,47+2,47+2,41+2,43+2,43+2,43+2,41+2,43+2,43+2,43+2,44+2,48+2,48+2,48+2,44+2,57+2,61+2,61+2,61+2,57+2,60+2,68+2,68+2,68+2,60+2,CB
227708,44+2,44+2,44+2,40+2,41+2,41+2,41+2,40+2,42+2,42+2,42+2,44+2,49+2,49+2,49+2,44+2,57+2,62+2,62+2,62+2,57+2,59+2,68+2,68+2,68+2,59+2,CB
211068,67+2,67+2,67+2,64+2,66+2,66+2,66+2,64+2,64+2,64+2,64+2,64+2,60+2,60+2,60+2,64+2,52+2,52+2,52+2,52+2,52+2,51+2,50+2,50+2,50+2,51+2,ST
213905,67+2,67+2,67+2,63+2,63+2,63+2,63+2,63+2,60+2,60+2,60+2,61+2,56+2,56+2,56+2,61+2,54+2,51+2,51+2,51+2,54+2,53+2,53+2,53+2,53+2,53+2,"ST,LM"
198033,64+2,64+2,64+2,68+2,67+2,67+2,67+2,68+2,68+2,68+2,68+2,67+2,62+2,62+2,62+2,67+2,51+2,48+2,48+2,48+2,51+2,48+2,40+2,40+2,40+2,48+2,"LW,RW"
244624,60+2,60+2,60+2,64+2,65+2,65+2,65+2,64+2,67+2,67+2,67+2,65+2,67+2,67+2,67+2,65+2,61+2,63+2,63+2,63+2,61+2,59+2,57+2,57+2,57+2,59+2,CM
165520,66+2,66+2,66+2,67+2,67+2,67+2,67+2,67+2,68+2,68+2,68+2,67+2,65+2,65+2,65+2,67+2,55+2,54+2,54+2,54+2,55+2,52+2,46+2,46+2,46+2,52+2,CAM
138384,68+2,68+2,68+2,58+2,63+2,63+2,63+2,58+2,59+2,59+2,59+2,56+2,55+2,55+2,55+2,56+2,43+2,46+2,46+2,46+2,43+2,42+2,46+2,46+2,46+2,42+2,ST
198288,60+2,60+2,60+2,64+2,63+2,63+2,63+2,64+2,64+2,64+2,64+2,66+2,65+2,65+2,65+2,66+2,68+2,67+2,67+2,67+2,68+2,68+2,66+2,66+2,66+2,68+2,"RB,RM,RWB"
234383,,,,,,,,,,,,,,,,,,,,,,,,,,,GK
231823,48+2,48+2,48+2,49+2,49+2,49+2,49+2,49+2,51+2,51+2,51+2,52+2,58+2,58+2,58+2,52+2,62+2,68+2,68+2,68+2,62+2,64+2,68+2,68+2,68+2,64+2,CB
220815,69+2,69+2,69+2,68+2,69+2,69+2,69+2,68+2,69+2,69+2,69+2,68+2,67+2,67+2,67+2,68+2,63+2,63+2,63+2,63+2,63+2,63+2,61+2,61+2,61+2,63+2,"LM,CM,ST"
215183,67+2,67+2,67+2,58+2,63+2,63+2,63+2,58+2,60+2,60+2,60+2,57+2,58+2,58+2,58+2,57+2,46+2,48+2,48+2,48+2,46+2,44+2,46+2,46+2,46+2,44+2,ST
201359,60+2,60+2,60+2,62+2,63+2,63+2,63+2,62+2,64+2,64+2,64+2,64+2,66+2,66+2,66+2,64+2,66+2,67+2,67+2,67+2,66+2,65+2,64+2,64+2,64+2,65+2,"CDM,CM"
